,Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,SSD,HDD,FlashStorage,Gpu_brand,Price
507,Acer,Notebook,15.6,1920x1080,4,Windows,2.2,0,1,Intel Core i5,0,1000,0,Nvidia,55170.0
1210,Apple,Ultrabook,12.0,2304x1440,8,Mac,0.92,0,1,Other Intel,0,0,512,Intel,115110.0
247,Asus,Gaming,17.3,1920x1080,16,Windows,3.6,0,0,Intel Core i7,256,0,0,Nvidia,269910.0
1199,MSI,Gaming,17.3,1920x1080,16,Windows,2.43,0,0,Intel Core i7,1256,1000,0,Nvidia,184401.0
983,Fujitsu,Notebook,15.6,1366x768,4,Windows,2.3,0,0,Intel Core i5,256,0,0,Intel,58410.0
304,Asus,Gaming,15.6,1920x1080,8,Windows,2.5,0,0,Intel Core i7,1128,1000,0,Nvidia,113850.0
592,Dell,2 in 1 Convertible,11.6,1366x768,4,Windows,1.39,1,0,Other Intel,128,0,0,Intel,54270.0
647,Razer,Gaming,14.0,1920x1080,16,Windows,1.95,0,0,Intel Core i7,256,0,0,Nvidia,233910.0
1057,Acer,Notebook,15.6,1366x768,8,Windows,2.4,0,0,AMD processor,0,1000,0,AMD,40410.0
860,Lenovo,Notebook,15.6,1920x1080,8,Windows,2.3,0,1,Intel Core i5,0,1000,0,Intel,76559.4
1165,Dell,Gaming,15.6,3840x2160,8,Windows,2.62,0,0,Intel Core i7,1128,1000,0,Nvidia,134820.0
490,Lenovo,Notebook,15.6,1920x1080,8,Windows,2.3,0,1,Intel Core i5,256,0,0,Nvidia,91079.1
1180,Lenovo,2 in 1 Convertible,14.0,2560x1440,8,Windows,1.36,1,1,Intel Core i5,256,0,0,Intel,147330.0
1230,Lenovo,Netbook,12.5,1920x1080,16,Windows,1.3,1,1,Intel Core i7,512,0,0,Intel,148500.0
277,Acer,Notebook,15.6,1920x1080,8,Windows,2.2,0,1,Intel Core i7,0,1000,0,Nvidia,67050.0
1078,Lenovo,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Intel Core i5,0,500,0,Intel,48600.0
949,Acer,Notebook,14.0,1366x768,4,Chrome ,1.68,0,0,Other Intel,0,0,32,Intel,31410.0
596,Lenovo,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.37,1,1,Intel Core i7,512,0,0,Intel,182250.0
1283,Asus,Notebook,15.6,1366x768,4,Windows,2.2,0,0,Intel Core i7,0,500,0,Nvidia,64828.8
521,HP,Ultrabook,13.3,1920x1080,8,Windows,1.32,0,1,Intel Core i7,256,0,0,Intel,125910.0
1246,Dell,Notebook,14.0,1366x768,4,Windows,1.6,0,0,Intel Core i5,0,500,0,Intel,78750.0
