Company,TypeName,Inches,ScreenResolution,Ram,OpSys,Weight,Touchscreen,IPS_panel,Cpu_brand,SSD,HDD,FlashStorage,Gpu_brand,Price
Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,128,0,0,Intel,120572.1
Apple,Ultrabook,13.3,1440x900,8,Mac,1.34,0,0,Intel Core i5,0,0,128,Intel,80904.6
HP,Notebook,15.6,1920x1080,8,No ,1.86,0,0,Intel Core i5,256,0,0,Intel,51750.0
Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,512,0,0,AMD,228370.5
Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,256,0,0,Intel,162324.0
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,AMD processor,0,500,0,AMD,36000.0
Apple,Ultrabook,15.4,2880x1800,16,Mac,2.04,0,1,Intel Core i7,0,0,256,Intel,192597.3
Apple,Ultrabook,13.3,1440x900,8,Mac,1.34,0,0,Intel Core i5,0,0,256,Intel,104283.0
Asus,Ultrabook,14.0,1920x1080,16,Windows,1.3,0,0,Intel Core i7,512,0,0,Nvidia,134550.0
Acer,Ultrabook,14.0,1920x1080,8,Windows,1.6,0,1,Intel Core i5,256,0,0,Intel,69300.0
HP,Notebook,15.6,1366x768,4,No ,1.86,0,0,Intel Core i5,0,500,0,Intel,35451.0
HP,Notebook,15.6,1920x1080,4,No ,1.86,0,0,Intel Core i3,0,500,0,Intel,31049.1
Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,256,0,0,AMD,219597.3
Dell,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Intel Core i3,256,0,0,AMD,44901.0
Apple,Ultrabook,12.0,2304x1440,8,Mac,0.92,0,1,Other Intel,256,0,0,Intel,113616.0
Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,256,0,0,Intel,136669.5
Dell,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i7,256,0,0,AMD,67050.0
Apple,Ultrabook,15.4,2880x1800,16,Mac,1.83,0,1,Intel Core i7,512,0,0,AMD,257220.0
Lenovo,Notebook,15.6,1920x1080,8,No ,2.2,0,0,Intel Core i3,0,1000,0,Nvidia,44910.0
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.22,1,1,Intel Core i5,128,0,0,Intel,88110.0
Asus,Netbook,11.6,1366x768,2,Windows,0.98,0,0,Other Intel,0,0,32,Intel,17271.0
Lenovo,Gaming,15.6,1920x1080,8,Windows,2.5,0,1,Intel Core i5,1128,1000,0,Nvidia,89910.0
HP,Notebook,15.6,1366x768,4,No ,1.86,0,0,AMD processor,0,500,0,AMD,23220.0
Dell,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.62,1,0,Intel Core i5,256,0,0,Intel,73710.0
HP,Ultrabook,15.6,1920x1080,8,Windows,1.91,0,0,Intel Core i7,256,0,0,Intel,59310.0
Dell,Notebook,15.6,1366x768,4,Windows,2.3,0,0,Intel Core i3,0,1000,0,Intel,37677.6
Apple,Ultrabook,13.3,1440x900,8,Mac,1.35,0,0,Intel Core i5,0,0,128,Intel,98910.0
Dell,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i5,256,0,0,AMD,72000.0
Dell,Ultrabook,15.6,1920x1080,8,Windows,1.88,0,0,Intel Core i7,512,0,0,Intel,116820.0
HP,Notebook,17.3,1920x1080,8,Windows,2.5,0,0,Intel Core i5,0,1000,0,Nvidia,80640.0
Chuwi,Notebook,15.6,1920x1080,4,Windows,1.89,0,0,Other Intel,0,0,64,Intel,22049.1
Asus,Notebook,14.0,1366x768,2,Windows,1.65,0,0,AMD processor,0,0,32,AMD,17910.0
HP,Notebook,17.3,1920x1080,4,Windows,2.71,0,0,AMD processor,0,500,0,AMD,39510.0
Dell,Ultrabook,13.3,3200x1800,16,Windows,1.2,1,0,Intel Core i7,512,0,0,Intel,168210.0
Apple,Ultrabook,13.3,1440x900,8,Mac,1.35,0,0,Intel Core i5,0,0,256,Intel,89820.0
Lenovo,Notebook,14.0,1366x768,4,Windows,1.44,0,0,Other Intel,0,0,64,Intel,22410.0
Acer,Notebook,15.6,1366x768,4,Linux,2.1,0,0,Intel Core i3,0,1000,0,Intel,33030.0
Dell,Notebook,17.3,1920x1080,8,Windows,2.8,0,1,Intel Core i5,1128,1000,0,AMD,88110.0
HP,Notebook,15.6,1366x768,4,Windows,1.86,0,0,Intel Core i5,0,1000,0,Intel,43982.1
HP,Notebook,15.6,1920x1080,8,Windows,2.1,0,0,Intel Core i5,256,0,0,Nvidia,79110.0
Asus,Notebook,15.6,1920x1080,4,Linux,2.0,0,0,Intel Core i3,0,1000,0,Intel,35010.0
Dell,Gaming,15.6,1920x1080,16,Windows,2.65,0,1,Intel Core i7,1256,1000,0,Nvidia,134910.0
Asus,Notebook,15.6,1366x768,8,Linux,2.3,0,0,Intel Core i5,0,1000,0,Nvidia,47069.1
Acer,Notebook,15.6,1920x1080,4,Windows,2.2,0,1,Intel Core i5,256,0,0,Intel,61380.0
Dell,2 in 1 Convertible,17.3,1920x1080,12,Windows,2.77,1,0,Intel Core i5,0,1000,0,Nvidia,89910.0
Apple,Ultrabook,13.3,2560x1600,8,Mac,1.37,0,1,Intel Core i5,256,0,0,Intel,127710.0
Lenovo,Notebook,15.6,1366x768,4,No ,2.2,0,0,Intel Core i3,128,0,0,Intel,33210.0
Asus,Gaming,17.3,1920x1080,8,Windows,3.2,0,0,AMD processor,1256,1000,0,AMD,116910.0
Dell,Notebook,15.6,1920x1080,4,Windows,2.3,0,0,Intel Core i5,256,0,0,AMD,57510.0
Asus,Notebook,17.3,1366x768,4,Windows,2.8,0,0,Other Intel,0,1000,0,Nvidia,41940.0
Lenovo,2 in 1 Convertible,10.1,1920x1200,4,Android,0.69,1,1,Other Intel,0,0,64,Intel,28710.0
Acer,Notebook,15.6,1920x1080,8,Windows,2.2,0,1,Intel Core i7,256,0,0,Nvidia,75690.0
HP,Notebook,15.6,1920x1080,4,Windows,1.86,0,0,AMD processor,256,0,0,AMD,35864.1
HP,Notebook,13.3,1920x1080,8,Windows,1.49,0,0,Intel Core i7,512,0,0,Intel,99270.0
Acer,Notebook,15.6,1366x768,4,Windows,2.4,0,0,Intel Core i3,0,1000,0,Intel,34560.0
Dell,Notebook,15.6,1920x1080,8,Windows,2.13,0,0,Intel Core i7,256,0,0,AMD,69102.0
HP,Notebook,15.6,1920x1080,4,Windows,1.91,0,0,Intel Core i3,128,0,0,Intel,39510.0
Asus,Notebook,15.6,1366x768,4,Windows,2.0,0,0,Intel Core i5,256,0,0,Intel,52757.100000000006
MSI,Gaming,17.3,1920x1080,16,Windows,2.43,0,0,Intel Core i7,2256,2000,0,Nvidia,220410.0
Asus,Notebook,15.6,1920x1080,4,Linux,2.0,0,0,Intel Core i3,256,0,0,Intel,37350.0
Dell,Notebook,17.3,1920x1080,16,Windows,2.8,0,0,Intel Core i7,2256,2000,0,AMD,116910.0
Dell,Ultrabook,14.0,1920x1080,8,Windows,1.7,0,0,Intel Core i5,256,0,0,Intel,79110.0
Lenovo,Notebook,14.0,1920x1080,8,No ,1.7,0,1,Intel Core i3,256,0,0,Intel,53910.0
Asus,Notebook,14.0,1920x1080,8,Windows,1.4,0,0,Intel Core i5,256,0,0,Intel,84690.0
HP,Notebook,15.6,1920x1080,8,Windows,1.86,0,0,Intel Core i5,256,0,0,Intel,62100.0
Asus,Ultrabook,15.6,1920x1080,16,Windows,1.8,0,0,Intel Core i7,512,0,0,Nvidia,178470.0
HP,Notebook,15.6,1366x768,4,Windows,1.86,0,0,Intel Core i3,0,500,0,AMD,39482.1
HP,Notebook,14.0,1366x768,4,Windows,1.44,0,0,Other Intel,32,0,0,Intel,20610.0
Lenovo,Notebook,15.6,1920x1080,4,Windows,1.9,0,0,Intel Core i5,0,1000,0,Intel,49410.0
Asus,Gaming,17.3,1920x1080,12,Linux,3.0,0,0,Intel Core i7,0,1000,0,Nvidia,85410.0
Microsoft,Ultrabook,13.5,2256x1504,4,Windows,1.252,1,0,Intel Core i5,128,0,0,Intel,98010.0
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.4,0,1,Intel Core i7,256,0,0,AMD,85950.0
Dell,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i7,256,0,0,AMD,78300.0
MSI,Gaming,17.3,1920x1080,8,Windows,2.7,0,0,Intel Core i5,1128,1000,0,Nvidia,98550.0
Acer,Notebook,14.0,1366x768,8,Windows,2.1,0,0,Intel Core i3,0,1000,0,Intel,35010.0
Asus,Gaming,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i7,0,1000,0,Nvidia,85410.0
Lenovo,Notebook,15.6,1920x1080,8,No ,2.2,0,0,Intel Core i5,0,2000,0,Intel,46710.0
Dell,Notebook,15.6,1920x1080,8,Windows,2.02,0,0,Intel Core i7,1128,1000,0,Intel,76950.0
Acer,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Intel Core i3,0,1000,0,Nvidia,47700.0
HP,Notebook,17.3,1920x1080,8,Windows,2.5,0,0,Intel Core i5,1128,1000,0,Nvidia,87930.0
Dell,Ultrabook,15.6,1920x1080,8,Windows,1.88,0,1,Intel Core i5,256,0,0,Intel,98654.4
Apple,Ultrabook,12.0,2304x1440,8,Mac,0.92,0,1,Intel Core i5,512,0,0,Intel,135900.0
HP,Notebook,14.0,1920x1080,8,Windows,1.63,0,0,Intel Core i5,256,0,0,Intel,77400.0
Lenovo,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,AMD processor,128,0,0,AMD,35910.0
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,AMD processor,0,1000,0,AMD,35550.0
Dell,Gaming,15.6,1920x1080,16,Windows,2.65,0,1,Intel Core i7,1128,1000,0,Nvidia,121410.0
HP,Ultrabook,15.6,1920x1080,8,Windows,1.83,0,1,Intel Core i7,256,0,0,Nvidia,62910.0
HP,Notebook,15.6,1920x1080,8,Windows,1.96,0,0,Intel Core i5,256,0,0,Intel,53909.1
Asus,Gaming,15.6,1920x1080,16,Windows,2.2,0,1,Intel Core i7,1128,1000,0,Nvidia,130410.0
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.21,0,1,Intel Core i7,256,0,0,Intel,148410.0
Asus,Gaming,15.6,1920x1080,8,Windows,2.45,0,0,AMD processor,0,1000,0,AMD,62910.0
Acer,Notebook,15.6,1920x1080,8,Windows,2.2,0,0,Intel Core i7,0,1000,0,Nvidia,62010.0
HP,Notebook,13.3,1920x1080,16,Windows,1.49,0,0,Intel Core i7,512,0,0,Intel,107730.0
Dell,Gaming,15.6,1920x1080,8,Windows,2.65,0,0,Intel Core i5,256,0,0,Nvidia,107550.0
Asus,Ultrabook,14.0,1920x1080,8,Windows,1.25,0,0,Intel Core i7,256,0,0,Intel,94410.0
Acer,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.5,1,1,Intel Core i5,256,0,0,Intel,76230.0
Dell,Notebook,15.6,1920x1080,8,Linux,2.2,0,0,Intel Core i7,0,1000,0,AMD,53991.0
Dell,Notebook,15.6,1920x1080,4,Linux,2.2,0,0,Intel Core i3,256,0,0,AMD,43650.0
Asus,Notebook,15.6,1920x1080,6,Windows,2.0,0,0,Intel Core i3,256,0,0,Nvidia,51930.0
HP,Gaming,15.6,1920x1080,12,Windows,2.62,0,1,Intel Core i7,1128,1000,0,Nvidia,112410.0
HP,Notebook,15.6,1920x1080,8,Windows,1.91,0,0,Intel Core i7,256,0,0,AMD,64710.0
HP,Notebook,15.6,1920x1080,4,Windows,2.1,0,0,AMD processor,0,500,0,AMD,31410.0
Dell,Notebook,15.6,1920x1080,8,Linux,2.2,0,0,Intel Core i5,0,1000,0,AMD,58230.0
HP,Ultrabook,13.3,1920x1080,8,Windows,1.38,0,1,Intel Core i7,256,0,0,Nvidia,100710.0
Microsoft,Ultrabook,13.5,2256x1504,8,Windows,1.252,1,0,Intel Core i5,256,0,0,Intel,120600.0
HP,Notebook,14.0,1920x1080,6,Windows,1.58,0,1,Intel Core i5,256,0,0,Nvidia,59310.0
Lenovo,Notebook,15.6,1920x1080,4,Windows,1.85,0,0,Intel Core i3,0,1000,0,Intel,37341.0
Asus,Ultrabook,14.0,1920x1080,8,Windows,1.3,0,1,Intel Core i7,256,0,0,Nvidia,107370.0
MSI,Gaming,15.6,1920x1080,16,Windows,2.2,0,0,Intel Core i7,1256,1000,0,Nvidia,116910.0
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.58,0,1,Intel Core i7,256,0,0,Intel,133200.0
Asus,Ultrabook,15.6,1920x1080,16,Windows,1.5,0,0,Intel Core i7,1256,1000,0,Nvidia,113580.0
Dell,Ultrabook,13.3,3200x1800,8,Windows,1.23,1,0,Intel Core i7,256,0,0,Intel,124110.0
Lenovo,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.37,1,1,Intel Core i5,256,0,0,Intel,125910.0
HP,Notebook,14.0,1366x768,4,Windows,1.63,0,1,Intel Core i5,0,500,0,Intel,64980.0
Dell,Ultrabook,13.3,1920x1080,8,Windows,1.21,0,1,Intel Core i5,256,0,0,Intel,146610.0
HP,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.26,1,1,Intel Core i5,256,0,0,Intel,125909.1
HP,Notebook,14.0,1920x1080,8,Windows,1.63,0,0,Intel Core i7,512,0,0,Intel,97560.0
Dell,Notebook,15.6,1920x1080,8,Windows,2.16,0,1,Intel Core i7,1256,1000,0,Nvidia,101729.7
Asus,Notebook,17.3,1920x1080,4,Windows,2.0,0,0,Intel Core i3,0,1000,0,Nvidia,50760.0
Asus,Notebook,15.6,1920x1080,8,Windows,1.7,0,0,Intel Core i7,256,0,0,Nvidia,100620.0
Acer,Notebook,15.6,1920x1080,6,Windows,2.1,1,1,Intel Core i3,0,1000,0,Intel,43110.0
MSI,Gaming,15.6,1920x1080,16,Windows,1.8,0,0,Intel Core i7,2256,2000,0,Nvidia,201735.0
Lenovo,Notebook,15.6,1920x1080,8,No ,2.2,0,0,Intel Core i5,256,0,0,Nvidia,56610.0
HP,Notebook,17.3,1920x1080,16,Windows,2.5,0,0,Intel Core i7,512,0,0,Nvidia,114390.0
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,AMD processor,256,0,0,AMD,40590.0
HP,Notebook,15.6,1366x768,4,No ,1.86,0,0,Other Intel,0,500,0,Intel,23310.0
HP,Notebook,14.0,1920x1080,8,Windows,1.63,0,0,Intel Core i5,0,1000,0,Intel,73080.0
Asus,Notebook,14.0,1366x768,4,Windows,1.65,0,0,AMD processor,64,0,0,AMD,25019.1
Dell,Notebook,17.3,1920x1080,16,Windows,2.8,0,0,Intel Core i7,2256,2000,0,AMD,125640.0
HP,Notebook,17.3,1920x1080,8,Windows,2.5,0,0,Intel Core i5,256,0,0,Intel,83520.0
Dell,Notebook,15.6,1366x768,8,Windows,2.36,0,0,Intel Core i5,0,1000,0,AMD,57509.1
Dell,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Intel Core i3,0,1000,0,AMD,40410.0
Acer,Ultrabook,14.0,1920x1080,8,Windows,1.6,0,1,Intel Core i7,256,0,0,Intel,79560.0
Acer,Notebook,15.6,1920x1080,4,Windows,2.2,0,0,Intel Core i3,256,0,0,Nvidia,51480.0
HP,Notebook,15.6,1366x768,8,Windows,2.05,0,0,Intel Core i7,0,1000,0,Intel,53820.0
HP,Notebook,14.0,1920x1080,8,Windows,1.63,0,0,Intel Core i7,256,0,0,Intel,88920.0
Lenovo,Notebook,15.6,1366x768,4,No ,1.9,0,0,Other Intel,0,1000,0,Intel,22712.4
Asus,Gaming,17.3,1920x1080,8,Windows,3.0,0,0,Intel Core i5,1128,1000,0,Nvidia,84420.0
Lenovo,Notebook,15.6,1920x1080,4,No ,2.2,0,0,Intel Core i5,0,1000,0,Nvidia,44910.0
HP,Notebook,13.3,1920x1080,4,Windows,1.32,0,1,Intel Core i5,256,0,0,Intel,62910.0
Acer,Notebook,17.3,1920x1080,4,Windows,3.0,0,1,Intel Core i3,0,1000,0,Nvidia,58950.0
Lenovo,Notebook,14.0,1920x1080,8,Windows,1.75,0,1,Intel Core i5,256,0,0,AMD,100441.8
Lenovo,Gaming,15.6,1920x1080,8,No ,2.4,0,1,Intel Core i7,256,0,0,Nvidia,78210.0
Toshiba,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Intel Core i5,0,500,0,Intel,54180.0
HP,Notebook,15.6,1366x768,4,Windows,1.86,0,0,AMD processor,256,0,0,AMD,33210.0
Asus,Ultrabook,14.0,1920x1080,8,Windows,1.25,0,0,Intel Core i7,256,0,0,Intel,98910.0
HP,Ultrabook,12.5,3840x2160,8,Windows,0.97,1,1,Other Intel,512,0,0,Intel,181260.0
Asus,Notebook,15.6,1920x1080,4,Windows,2.0,0,0,Other Intel,0,1000,0,Intel,30960.0
MSI,Gaming,17.3,1920x1080,16,Windows,2.9,0,0,Intel Core i7,1256,1000,0,Nvidia,182610.0
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Intel Core i3,0,1000,0,Intel,40230.0
Dell,Gaming,15.6,1920x1080,16,Windows,2.56,0,0,Intel Core i7,512,0,0,Nvidia,112433.4
Dell,Gaming,15.6,1920x1080,8,Windows,2.62,0,0,Intel Core i7,0,0,0,Nvidia,80910.0
Lenovo,Notebook,15.6,1366x768,4,Windows,1.9,0,0,Intel Core i5,128,0,0,Intel,44820.0
MSI,Gaming,17.3,1920x1080,16,Windows,2.8,0,0,Intel Core i7,1256,1000,0,Nvidia,170100.0
HP,Ultrabook,14.0,1920x1080,4,Windows,1.48,0,0,Intel Core i5,256,0,0,Intel,97380.0
HP,Notebook,15.6,1920x1080,6,Windows,1.91,0,0,Intel Core i5,256,0,0,AMD,55710.0
Lenovo,2 in 1 Convertible,14.0,1920x1080,4,Windows,1.74,1,1,Intel Core i3,256,0,0,Intel,56610.0
Asus,2 in 1 Convertible,13.3,1920x1080,8,Windows,1.1,1,0,Intel Core i5,256,0,0,Intel,118350.0
Dell,2 in 1 Convertible,15.6,1920x1080,8,Windows,1.56,1,0,Intel Core i7,256,0,0,Intel,94410.0
Toshiba,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Intel Core i3,0,500,0,Intel,40230.0
Asus,Notebook,15.6,1366x768,4,Windows,2.03,0,0,AMD processor,0,1000,0,AMD,36270.0
Acer,Notebook,17.3,1920x1080,4,Windows,3.0,0,1,Intel Core i5,256,0,0,Nvidia,72450.0
Dell,Notebook,15.6,1920x1080,8,Windows,2.13,0,0,Intel Core i5,256,0,0,AMD,65520.0
Lenovo,Gaming,15.6,1920x1080,16,Windows,2.5,0,1,Intel Core i7,256,0,0,Nvidia,97110.0
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Other Intel,0,1000,0,Intel,31320.0
MSI,Gaming,15.6,1920x1080,16,Windows,2.4,0,1,Intel Core i7,1256,1000,0,Nvidia,161910.0
Acer,Notebook,15.6,1366x768,4,Windows,2.1,0,0,Other Intel,0,1000,0,Intel,32715.9
Dell,Gaming,15.6,1920x1080,8,Windows,2.56,0,0,Intel Core i7,1128,1000,0,Nvidia,95444.1
Acer,Notebook,17.3,1920x1080,8,Windows,3.0,0,1,Intel Core i5,256,0,0,Nvidia,76860.0
HP,Notebook,13.3,1920x1080,4,Windows,1.49,0,1,Intel Core i5,0,500,0,Intel,67860.0
